Code,Name,Description,NameSort,Logo,SourceLastEdition,SourceISSN,SourceCountry,Language,SourceArchivedSince,SourceFinArchive,SourceDomaine,SourceFrequency,PreviousEdition
SRF_P,La Recherche - Hors-série,"Hors-série du magazine La Recherche, mensuel couvrant l'actualité scientifique. Crée en 1961, il est désormais la référence pour l'information scientifique francophone. ","Recherche, La - Hors-série",srf_small.gif,2020-06-01T00:00:00,2430-5472,France,,2016-03-10T00:00:00,2020-06-01T00:00:00,Sciences et technologie,Bimestriel ou trimestriel,2020-03-01T00:00:00
SX_P,"The Record (Springhill, NS)","Publié en 1917 sous le nom de The Record and Springhill Mining Journal, The Record est le plus ancien hebdomadaire de la communauté. Il a été témoin des catastrophes minières dans la région et d'un incendie dévastateur qui a détruit le centre-ville de Springhill en 1975.","Record, The (Springhill, NS)",sx_small.gif,2011-05-25T00:00:00,,Canada,,2010-04-14T00:00:00,2011-05-25T00:00:00,Généraliste,Hebdomadaire,2011-05-18T00:00:00
VCH_P,Recyclage Récupération,"Cette publication accompagne le magazine Recyclage Récupération Hebdo. Elle contient un dossier technique axé sur les différentes solutions proposées par l'industrie au monde du recyclage, le point économique, institutionnel et législatif sur une filière du recyclage, le focus consacré aux enjeux et les difficultés en matière de recyclage. Archives manquantes entre 2013 et 2018",Recyclage Récupération,vch_small.gif,2024-12-02T00:00:00,,France,,2019-01-21T00:00:00,,Environnement,Hebdomadaire,2024-11-25T00:00:00
RD_P,The Red Deer Advocate (AB),"""L'évolution du Red Deer Advocate est liée à celle de la ville de Red Deer, du petit village du début, jusqu'à la ville d'aujourd'hui.
Le Advocate est un journal grand format propriété de Black Press depuis 1998. Il est publié du mardi au samedi et contient les nouvelles locales, nationales et internationales, les sections sports, loisirs et divertissements, voyage, société et des informations sur les marchés économiques."" Le journal parait le mercredi et le samedi seulement à partir du 2 octobre 2024.","Red Deer Advocate, The (AB)",rd5_small.gif,2024-11-30T00:00:00,1186-3110,Canada,,2008-09-10T00:00:00,,Généraliste,Bihebdomadaire ou trihebdomadaire,2024-11-27T00:00:00
FIR_P,Référence Carrelage,"Cette revue s'adresse aux professionnels du carrelage en proposant des articles, des reportages et des portraits suivant l'actualité de leur secteur.
",Référence Carrelage,fir_small.gif,2024-11-21T00:00:00,1954-4715,France,,2019-01-28T00:00:00,,Industrie,Bimestriel ou trimestriel,2024-09-11T00:00:00
JN_P,"Le Reflet du Lac (Magog, QC)","Hebdomadaire situé à Magog   en Estrie. Exact reflet de la collectivité qu'il sert, Le Reflet du Lac constitue la meilleure et parfois la seule source de nouvelles locales.","Reflet du Lac, Le (Magog, QC)",jn2_small.gif,2024-11-20T00:00:00,0846-4588,Canada,,2006-10-15T00:00:00,,Généraliste,Hebdomadaire,2024-11-13T00:00:00
QRD_P,"Le Reflet (Delson, QC)","Hebdomadaire desservant la région de Delson au Québec. Exact reflet de la collectivité qu'il sert, Le Reflet constitue la meilleure et parfois la seule source de nouvelles locales.","Reflet, Le (Delson, QC)",qrd_small.gif,2024-11-20T00:00:00,1182-2996,Canada,,2014-06-04T00:00:00,,Généraliste,Hebdomadaire,2024-11-13T00:00:00
FRL_P,Le Régional de Cosne et du Charitois,Le Régional de Cosne et du Charitois est un journal hebdomadaire régional français basé dans le département Cosne-Cours-sur-Loire.,"Régional de Cosne et du Charitois, Le",frl2_small.gif,2024-11-27T00:00:00,2554-6287,France,,2015-03-11T00:00:00,,Généraliste,Hebdomadaire,2024-11-20T00:00:00
ERC_P,Relation Client,"Relation Client propose une approche globale et stratégique de la relation client. Le magazine est divisé en cinq grandes rubriques : 
-	L’essentiel de l’actualité, pour mener une veille complète des tendances du secteur.
-	L’enquête, pour approfondir une problématique stratégique illustrée par des témoignages d’entreprises et d’experts.
-	Rencontre, pour partager le point de vue d’un acteur de la relation client.
-	Initiatives, pour décrypter la stratégie relation client d’une entreprise innovante.
-	En pratique, une approche pédagogique d’un point-clé de la relation client.",Relation Client,erc_small.gif,2024-09-06T00:00:00,1960-1611,France,,2016-04-05T00:00:00,,"Marketing, médias, communication",Bimestriel ou trimestriel,2024-06-10T00:00:00
AAR_P,RendezVous (QC),"Mensuel bilingue qui englobe les arts, culture, événements, divertissements et restaurants. Il dessert Westmount, Notre-Dame-de-Grâce, Côte-Saint-Luc, Hampstead et Montréal Ouest.",RendezVous (QC),aar_small.gif,2018-09-13T00:00:00,,Canada,,2015-11-05T00:00:00,2018-09-13T00:00:00,Arts et culture,Mensuel ou bimensuel,2018-08-30T00:00:00
IRA_P,Renfrew Mercury (ON),Le Renfrew Mercury est un journal publié depuis 1871. Il couvre l'actualité des communautés de Renfrew Town et de Burnstown et de Calabogie.,Renfrew Mercury (ON),ira2_small.gif,2023-09-14T00:00:00,,Canada,,2019-02-14T00:00:00,2023-09-14T00:00:00,Généraliste,Hebdomadaire,2023-09-07T00:00:00
MRE_P,Réponses Photo,"Réponses Photo est un magazine bimestriel qui s'adresse autant aux débutants qu'aux professionnels de la photographie. Réponses Photo traite de l'actualité photo, renseigne les lecteurs sur les produits et nouvelles technologies dans le domaine. Archives manquantes entre 2013 et 2020.",Réponses Photo,mre2_small.gif,2024-11-08T00:00:00,1167-864X,France,,2011-11-29T00:00:00,,Arts et culture,Bimestriel ou trimestriel,2024-10-16T00:00:00
WO_P,"The Reporter (Port Hawkesbury, NS)","La région de Strait en Nouvelle-Écosse a toujours été une partie vitale de la province. En tant que pont entre l’île du Cap-Breton et la partie continentale, le Port Hawksbury Reporter sert cette région animée avec les nouvelles les plus récentes affectant les communautés de la région de Strait.  En fait, le Port Hawksbury Reporter couvre cette région depuis 1982. Il est populaire dans les communautés de Port Hawksbury, Mulgrave, Port Hastings, River Bourgeois, Saint-Pierre, Arichat et Isle Madame. Bien établit et réputé pour ses articles intéressants et justes qui décrivent la vie des gens qui habitent dans ces communautés, les lecteurs peuvent s’attendre à voir tous des préoccupations et événements communautaires, aux citoyens qui se démarquent et des profils d’entreprise déterminants.","Reporter, The (Port Hawkesbury, NS)",wo_small.gif,2023-12-28T00:00:00,,Canada,,2011-08-10T00:00:00,2023-12-28T00:00:00,Généraliste,Hebdomadaire,2023-05-03T00:00:00
